"","Goals","Assists","Points","PlMi","PIM","PPP","SHG","ATOI","SOG","HIT","BLK","GS","W","SV","SO","GAA","Result"
"385","12","13","25","-1","15","8","1","1243","103","72","35","5","2","120","0","3.435","Loss"
"386","6","17","23","6","24","8","0","1130","132","54","65","5","3","140","0","2.667","Win"
"387","13","19","32","-6","41","4","0","1169","128","65","49","4","1","108","0","2.324","Loss"
"388","12","20","32","20","10","8","0","1167","110","45","50","5","4","142","1","1.194","Win"
"389","13","15","28","-2","34","6","0","1212","98","57","62","2","0","38","0","1.431","Win"
"390","10","12","22","4","22","4","0","1147","113","70","37","3","1","75","0","2.627","Loss"
"391","12","19","31","-3","22","9","1","1216","130","54","62","6","2","154","0","1.985","Loss"
"392","17","26","43","22","44","14","0","1181","149","68","44","5","3","133","1","1.771","Win"
"393","5","15","20","-10","21","1","0","1179","128","63","46","5","3","119","0","2.523","Win"
"394","10","11","21","-6","24","11","1","1186","107","43","36","4","1","111","0","2.773","Loss"
"395","1","16","17","7","19","5","0","1230","65","37","46","5","1","134","0","2.648","Loss"
"396","9","16","25","-12","22","10","0","1168","100","30","44","5","5","146","1","0.994","Win"
"397","8","20","28","-7","30","11","0","1204","83","46","31","5","2","127","1","2.573","Loss"
"398","14","18","32","-3","30","12","0","1228","105","52","43","4","3","125","0","1.510","Win"
"399","9","19","28","-8","28","13","0","1268","140","71","45","6","4","190","0","2.240","Win"
"400","8","20","28","2","42","6","0","1232","115","45","44","4","2","110","1","2.022","Loss"
"401","12","19","31","-10","24","14","0","1251","87","21","28","3","1","90","0","4.003","Loss"
"402","7","15","22","0","26","7","0","1132","107","39","40","6","2","172","0","2.636","Win"
"403","10","17","27","4","10","12","0","1152","118","48","31","6","5","157","1","2.281","Win"
"404","6","8","14","-8","29","2","1","1122","82","43","31","5","2","191","0","2.730","Loss"
"405","10","22","32","10","10","9","0","1124","102","41","42","4","0","54","0","6.926","Loss"
"406","8","22","30","0","26","11","0","1265","106","52","54","5","2","125","1","2.714","Win"
"407","10","29","39","-3","30","14","0","1208","142","34","34","5","4","151","0","2.209","Win"
"408","16","11","27","-2","17","12","0","1197","114","53","32","4","3","123","1","1.960","Loss"
"409","8","15","23","6","16","5","0","1181","71","40","38","3","2","96","0","3.270","Win"
"410","4","9","13","-6","12","2","0","1180","71","34","36","3","1","85","0","2.055","Loss"
"411","5","7","12","-2","24","4","0","1123","71","34","39","4","2","102","0","2.754","Loss"
"412","10","12","22","7","8","4","1","1151","54","41","27","4","2","128","0","2.223","Win"
"413","10","9","19","8","8","3","1","1113","84","52","30","4","1","105","0","1.931","Win"
"414","9","17","26","1","10","11","0","1317","78","38","29","4","1","103","0","2.585","Loss"
"415","3","13","16","0","12","4","0","1110","60","35","33","3","1","101","0","2.601","Tie"
"416","5","11","16","1","22","4","0","1174","78","33","28","2","2","61","0","2.769","Tie"
"417","7","13","20","2","18","6","0","1180","92","32","22","3","3","90","0","2.292","Win"
"418","5","14","19","-5","17","5","0","1103","66","20","26","4","2","119","0","2.422","Loss"
"419","9","16","25","2","10","10","0","1186","84","23","38","4","0","128","0","2.588","Win"
"420","5","12","17","9","8","4","0","1148","70","25","25","2","1","63","0","2.036","Loss"
